Research Field,Number of Authors,Average H-Index,Average i10-Index,Max H-Index,Min H-Index,Total H-Index
Security Intelligence,1,3.0,2.0,3,3,3
Lean Management,2,3.0,2.0,5,1,6
Multidimensional Poverty,1,3.0,1.0,3,3,3
Cartographie Et Tld,1,3.0,0.0,3,3,3
Financial Transparency,1,3.0,3.0,3,3,3
Human Activity Recognition,1,3.0,2.0,3,3,3
Classification Multicritres,1,3.0,1.0,3,3,3
Biochimie Et Biologie Molculaire,1,3.0,2.0,3,3,3
Systmes De Communication- Systmes,1,3.0,0.0,3,3,3
Urban Mobility And Demand Analysis,1,3.0,1.0,3,3,3
Linguistics And Language Pedagogy,1,3.0,0.0,3,3,3
Swimming,1,3.0,2.0,3,3,3
Eiah,2,3.0,0.5,3,3,6
Progressive Accommodation,1,3.0,0.0,3,3,3
Stabilization,3,3.0,2.33,5,0,9
Antennas Design,1,3.0,1.0,3,3,3
Reconfigurable Wireless Sensor Networks,1,3.0,1.0,3,3,3
Stock Market,2,3.0,1.0,4,2,6
Reactive Transport,1,3.0,3.0,3,3,3
Sensor,1,3.0,0.0,3,3,3
Analytic Modelling,1,3.0,1.0,3,3,3
Electronic Devices,1,3.0,0.0,3,3,3
Chirurgie Thoracique,1,3.0,1.0,3,3,3
Anthropology Of Religion,1,3.0,2.0,3,3,3
Vehicle Routing Problem,1,3.0,1.0,3,3,3
Occultism,1,3.0,2.0,3,3,3
Parameter Identification,1,3.0,2.0,3,3,3
Politique Fiscal,1,3.0,1.0,3,3,3
High Frequency,1,3.0,1.0,3,3,3
Bim,2,3.0,1.0,5,1,6
Oxyde,1,3.0,1.0,3,3,3
Arithmetic Geometry,1,3.0,1.0,3,3,3
Natural Language Understanding,1,3.0,0.0,3,3,3
Littrature Thtre,1,3.0,1.0,3,3,3
Nano Devices,1,3.0,1.0,3,3,3
Learning Organization,1,3.0,1.0,3,3,3
Modlisation Hydrologique Et Hydraulique,1,3.0,0.0,3,3,3
Parcel Distribution,1,3.0,1.0,3,3,3
Matriaux Innovants,1,3.0,0.0,3,3,3
Hardware,2,3.0,0.5,4,2,6
Rseaux Intlligents,1,3.0,1.0,3,3,3
Conomie Internati,1,3.0,0.0,3,3,3
Hpc - Ai - Deep Learning,1,3.0,1.0,3,3,3
Environment And Energy Economics,1,3.0,1.0,3,3,3
Matriaux Composites,1,3.0,1.0,3,3,3
Ro,1,3.0,1.0,3,3,3
Cardiologie Interventionnelle,1,3.0,0.0,3,3,3
Power Electronic Converter,1,3.0,3.0,3,3,3
Systme Embarqu,1,3.0,2.0,3,3,3
Biomedical Signals,1,3.0,0.0,3,3,3
Model Predictive Control - Multi Objective,1,3.0,1.0,3,3,3
Artificial Intelligence/Intelligence Artificielle,1,3.0,0.0,3,3,3
Conservation Science,1,3.0,2.0,3,3,3
Automatic Speech Recognition,1,3.0,1.0,3,3,3
Topology-Arithmetic -Order,1,3.0,2.0,3,3,3
Air/Water Quality,1,3.0,2.0,3,3,3
Hmostase Et Thrombose,1,3.0,0.0,3,3,3
Agency Theory,1,3.0,3.0,3,3,3
Financial Disclosure,1,3.0,3.0,3,3,3
Interlanguage Pragmatics,1,3.0,3.0,3,3,3
Communities Detection,1,3.0,1.0,3,3,3
Financial Crises,1,3.0,1.0,3,3,3
Hmatologie-Oncologie,1,3.0,0.0,3,3,3
Gomatique,2,3.0,2.0,5,1,6
Politique Montaire,1,3.0,1.0,3,3,3
Internet Of Things (Iot),3,3.0,2.0,4,1,9
Phd Student,1,3.0,2.0,3,3,3
Healthcare Marketing,1,3.0,2.0,3,3,3
Pose Estimation,1,3.0,1.0,3,3,3
Context Aware Systems,1,3.0,0.0,3,3,3
Dessalement Par Osmose Inverse,1,3.0,1.0,3,3,3
Pdiatrie,1,3.0,1.0,3,3,3
Gynecology Obstetrics,1,3.0,0.0,3,3,3
Serious Game,1,3.0,1.0,3,3,3
Applied Econometrics And Numerical,1,3.0,1.0,3,3,3
Hydrogen Energy,1,3.0,2.0,3,3,3
Gouvernance Des Biens Publics Mondiaux,1,3.0,0.0,3,3,3
Healthcare Applications,1,3.0,1.0,3,3,3
Data Engineering,1,3.0,2.0,3,3,3
La Statistique Et Ses Applications,1,3.0,0.0,3,3,3
Source Separation,1,3.0,1.0,3,3,3
Science Des Matriaux Catalyse Agro,1,3.0,1.0,3,3,3
Pv,1,3.0,3.0,3,3,3
Applied Mathematcs,1,3.0,1.0,3,3,3
Self-Adaptation,1,3.0,1.0,3,3,3
Online Gaming,1,3.0,1.0,3,3,3
Forsenic,1,3.0,2.0,3,3,3
Mtamatriaux,1,3.0,1.0,3,3,3
Wlans,1,3.0,1.0,3,3,3
Cem,1,3.0,0.0,3,3,3
Pedagogy,2,3.0,0.5,3,3,6
Animation Personnages Virtuelles,1,3.0,1.0,3,3,3
Intelligent Tutoring Systems,1,3.0,0.0,3,3,3
Intrusion Detection,1,3.0,1.0,3,3,3
Cbt,1,3.0,1.0,3,3,3
Takagi-Sugeno Fuzzy Models,1,3.0,1.0,3,3,3
Adsorption Activated Carbon Simulation,1,3.0,3.0,3,3,3
Gestion Des Risques Financiers,1,3.0,2.0,3,3,3
At The Higher Institute Of Management Of,1,3.0,2.0,3,3,3
Eco Toxicology,1,3.0,2.0,3,3,3
Hydrologie Statistique,1,3.0,0.0,3,3,3
Stochastic System,1,3.0,0.0,3,3,3
Food Control,1,3.0,0.0,3,3,3
Mineral Processing,1,3.0,2.0,3,3,3
Pediatric Nephrology,1,3.0,3.0,3,3,3
Vhdl,2,3.0,2.0,3,3,6
Marine Ecotoxicology,1,3.0,0.0,3,3,3
Logistics And Supply Chain Management,1,3.0,0.0,3,3,3
Ergogenic Aids,1,3.0,0.0,3,3,3
Nergies Renouvelables,1,3.0,2.0,3,3,3
Finance Internationale,1,3.0,1.0,3,3,3
Context-Awareness,2,3.0,1.0,3,3,6
Hardware Design,2,3.0,0.5,3,3,6
Scattering Formalism,1,3.0,0.0,3,3,3
Intelligence Artificielle Et Optimisation,1,3.0,0.0,3,3,3
Gestion De L'Eau Potable,1,3.0,1.0,3,3,3
Handwriting,1,3.0,2.0,3,3,3
Data Assimilation,2,3.0,2.0,3,3,6
Business And Marketing Analysis,1,3.0,1.0,3,3,3
Hvs,1,3.0,1.0,3,3,3
Informao,1,3.0,1.0,3,3,3
Multimodel And Supervised Multicontrol,1,3.0,1.0,3,3,3
Learning Analytics,1,3.0,1.0,3,3,3
Magnetic Materials And Magnetism,1,3.0,1.0,3,3,3
Et Traitement Du Signal (Reconnaissance De,1,3.0,1.0,3,3,3
Gas Sensor,1,3.0,0.0,3,3,3
Sociologia,1,3.0,1.0,3,3,3
Flotation,1,3.0,2.0,3,3,3
Applied And Computational Mathematics,1,3.0,2.0,3,3,3
Micro-Ondes,1,3.0,1.0,3,3,3
Postcolonial Studies,1,3.0,0.0,3,3,3
Rf Wireless Technology,1,3.0,0.0,3,3,3
Transform Approximation,1,3.0,1.0,3,3,3
Cultural Anthropology,1,3.0,0.0,3,3,3
Congestion-Aware,1,3.0,1.0,3,3,3
Si/Tic,1,3.0,2.0,3,3,3
Gait Based Person Re-Identification,1,3.0,2.0,3,3,3
Assessment,1,3.0,1.0,3,3,3
Research,1,3.0,1.0,3,3,3
Systme Solaire,1,3.0,2.0,3,3,3
Bigdata,1,3.0,1.0,3,3,3
Parameter And State Estimation,1,3.0,2.0,3,3,3
Pid,1,3.0,2.0,3,3,3
User Model,1,3.0,0.0,3,3,3
Planning,1,3.0,0.0,3,3,3
Compression Vido,1,3.0,1.0,3,3,3
Soil Contamination,1,3.0,2.0,3,3,3
Medical Image Analysis,1,3.0,3.0,3,3,3
Takagi-Sugeno Models,1,3.0,1.0,3,3,3
Innovation Et Performance,1,3.0,2.0,3,3,3
Hbv,1,3.0,2.0,3,3,3
Poultry,1,3.0,1.0,3,3,3
Plc,2,3.0,1.5,5,1,6
Science,1,3.0,1.0,3,3,3
Urban Rules,1,3.0,0.0,3,3,3
- Histoire Mdivale- Transition Entre L'Antiquit,1,3.0,1.0,3,3,3
Traitement De L'Eau,1,3.0,0.0,3,3,3
Quantum Calculations,1,3.0,0.0,3,3,3
Biochemsitry,1,3.0,0.0,3,3,3
Machine And Deep Learning,2,3.0,1.0,3,3,6
Signatures,1,3.0,1.0,3,3,3
Retard,1,3.0,1.0,3,3,3
Graphical Models,1,3.0,0.0,3,3,3
Psychological Assessment,1,3.0,1.0,3,3,3
Addictive Behavior,1,3.0,1.0,3,3,3
Case-Based Reasoning/Raisonnement Base,1,3.0,0.0,3,3,3
Thin Films Elaboration,1,3.0,1.0,3,3,3
Service Marketing,1,3.0,2.0,3,3,3
Physical Education,1,3.0,0.0,3,3,3
Artificial Life,1,3.0,0.0,3,3,3
Computable General Equilibrium Modeling,1,3.0,1.0,3,3,3
Qoe Influencing Factors,1,3.0,1.0,3,3,3
Image Segmentation,1,3.0,3.0,3,3,3
Interconections,1,3.0,2.0,3,3,3
Quadrotor Uav,1,3.0,1.0,3,3,3
Modlisation Et Vrification Formelles,1,3.0,1.0,3,3,3
Bifurcation,1,3.0,0.0,3,3,3
Optical,1,3.0,3.0,3,3,3
Web Smantique,5,3.0,1.0,6,0,15
Special Functions Orthogonal Polynomials,1,3.0,1.0,3,3,3
Recherche Clinique,1,3.0,2.0,3,3,3
Fracture Mechanis,1,3.0,2.0,3,3,3
Observers Design,1,3.0,1.0,3,3,3
Semantic Analysis,1,3.0,1.0,3,3,3
System On Chip,1,3.0,2.0,3,3,3
Sociologie Du Sport,1,3.0,0.0,3,3,3
Financial Market Corporate Finance,1,3.0,1.0,3,3,3
Semantic Image Interpretation,1,3.0,3.0,3,3,3
Cinmatique Inverse,1,3.0,1.0,3,3,3
Morphomtrie Osto-Articulaire,1,3.0,1.0,3,3,3
Cetology,1,3.0,1.0,3,3,3
Vhicules Lectrique,1,3.0,2.0,3,3,3
Cultual Studies,1,3.0,0.0,3,3,3
Psicologia,1,3.0,1.0,3,3,3
Ns3 Simulations,1,3.0,1.0,3,3,3
Coverage And Connectivity,1,3.0,2.0,3,3,3
Design,8,2.75,2.5,10,0,22
Graphs,3,2.67,1.0,4,1,8
Forecasting,3,2.67,2.0,4,1,8
Mechanical Behavior Of Materials,3,2.67,1.33,5,1,8
Ia,6,2.67,1.0,6,0,16
Comptabilit,8,2.62,1.5,6,1,21
Bioinformatic,2,2.5,1.5,4,1,5
Adaptive Learning,2,2.5,0.0,3,2,5
Quantum Cryptography,2,2.5,0.5,5,0,5
Optimal Control,2,2.5,0.5,3,2,5
Management Science,2,2.5,0.5,3,2,5
Salinit,2,2.5,1.0,3,2,5
Statistiques,2,2.5,1.5,3,2,5
Financial Crisis,2,2.5,1.0,4,1,5
International Accounting,4,2.5,1.5,4,2,10
Resource Management,2,2.5,1.0,3,2,5
Open Innovation,2,2.5,1.5,5,0,5
Mmwave,2,2.5,1.0,3,2,5
Impedance Spectroscopy,2,2.5,1.5,3,2,5
Institutions,2,2.5,1.5,5,0,5
Technologie De L'Information Et De La,2,2.5,1.0,4,1,5
Edge Computing,2,2.5,0.5,4,1,5
Ethics,2,2.5,1.0,4,1,5
Optimisation Combinatoire,4,2.5,1.5,5,1,10
Gamification,2,2.5,0.5,4,1,5
Nanoparticules,2,2.5,0.0,4,1,5
Real-Time Databases,2,2.5,0.0,3,2,5
Wind Energy,2,2.5,1.5,3,2,5
Communication System,2,2.5,0.5,3,2,5
Probability,2,2.5,0.0,4,1,5
E-Tourisme,2,2.5,1.0,5,0,5
Image Fusion,2,2.5,1.0,3,2,5
Topology,2,2.5,1.0,4,1,5
Heuristic,2,2.5,0.0,3,2,5
E-Commerce,2,2.5,1.0,5,0,5
Semiconducteurs,2,2.5,0.5,4,1,5
Sciences Politiques,3,2.33,0.67,4,1,7
Sciences Conomiques,3,2.33,1.0,5,0,7
Automatisme,3,2.33,0.0,4,1,7
Mdecine Lgale,3,2.33,0.33,4,1,7
Quality Management,3,2.33,0.67,3,2,7
Imagerie Mdicale,4,2.25,0.25,4,1,9
Psychology,5,2.2,1.0,7,0,11
Agriculture,6,2.17,1.67,5,0,13
Material Science And Nano Materials,1,2.0,1.0,2,2,2
Mcanique Des Fluides Numrique,2,2.0,1.5,2,2,4
Analyse Musicologique,1,2.0,1.0,2,2,2
Elt,1,2.0,2.0,2,2,2
Cartographie - Sig - Gographie De Transport,1,2.0,0.0,2,2,2
Econometric Analysis,1,2.0,1.0,2,2,2
Security Policy Enforcement,1,2.0,0.0,2,2,2
Mathematique,1,2.0,0.0,2,2,2
Irs,1,2.0,0.0,2,2,2
Water,1,2.0,0.0,2,2,2
Analyse Systmique,1,2.0,2.0,2,2,2
Soil Organic Carbon,1,2.0,0.0,2,2,2
Ivoire,1,2.0,0.0,2,2,2
Language Learning,1,2.0,1.0,2,2,2
Smart Meter,1,2.0,1.0,2,2,2
Discretization,1,2.0,1.0,2,2,2
Biochimie Des Protines,1,2.0,1.0,2,2,2
Blind Source Separation,1,2.0,0.0,2,2,2
Machines Electriques,1,2.0,2.0,2,2,2
Sparql,1,2.0,1.0,2,2,2
Histoire Des Science,1,2.0,1.0,2,2,2
Energy Field,1,2.0,1.0,2,2,2
Interval Estimation,1,2.0,0.0,2,2,2
Woman Entrepreneurs,1,2.0,0.0,2,2,2
Of Nonlinear Dynamical Systems And Neural,1,2.0,0.0,2,2,2
Sustainble Materials Chemistry,1,2.0,2.0,2,2,2
International Capital Flows,1,2.0,2.0,2,2,2
Management Interculturel -Entrepreneuriat,1,2.0,1.0,2,2,2
Synthse Des Pid,1,2.0,0.0,2,2,2
Automatique Informatique Indutrielle,1,2.0,0.0,2,2,2
Boron,1,2.0,0.0,2,2,2
Content-Based Communication,1,2.0,2.0,2,2,2
Trajectory Data,1,2.0,1.0,2,2,2
3D Object Retrieval,1,2.0,1.0,2,2,2
Sciences Conomique,1,2.0,0.0,2,2,2
Numerical Optimization,1,2.0,1.0,2,2,2
Mcp,1,2.0,2.0,2,2,2
Tatouage Numrique,1,2.0,0.0,2,2,2
-Rgimes Politiques-Justice Politique-,1,2.0,0.0,2,2,2
Traitement Des Images,1,2.0,0.0,2,2,2
Bureaucracy,1,2.0,2.0,2,2,2
Corporate Social Reponsibility,1,2.0,0.0,2,2,2
Analyse Mathmatiques (Edp),1,2.0,0.0,2,2,2
Notation Et Information Financire,1,2.0,0.0,2,2,2
Modlisation Par Lments Finis,1,2.0,0.0,2,2,2
Natural Compounds Food Sciences And,1,2.0,0.0,2,2,2
Hybrid Comound,1,2.0,2.0,2,2,2
Spice,1,2.0,1.0,2,2,2
Biomecanic,1,2.0,0.0,2,2,2
Biology Genetics,1,2.0,2.0,2,2,2
Data Governance,1,2.0,0.0,2,2,2
Argiles,1,2.0,0.0,2,2,2
Visual Attention,1,2.0,0.0,2,2,2
Industrial Internet Of Things,1,2.0,1.0,2,2,2
Cultural Studies And Translation,1,2.0,0.0,2,2,2
Business Ethics,1,2.0,1.0,2,2,2
Computer Science And Information,1,2.0,0.0,2,2,2
Knowledge Based Systems,1,2.0,0.0,2,2,2
Dveloppement Personnel Et Professionnel,1,2.0,2.0,2,2,2
Profiling Meta-Heuristics Pso Fjsp,1,2.0,0.0,2,2,2
Diagnostic Of Industrial Process,1,2.0,0.0,2,2,2
Analytic Philosophy,1,2.0,0.0,2,2,2
Droit Mdical,2,2.0,0.5,4,0,4
Code Generation,1,2.0,0.0,2,2,2
Pixel Unmixing Fluorescence Image,1,2.0,0.0,2,2,2
Date Palm Studies,1,2.0,1.0,2,2,2
Multi-View Learning,1,2.0,0.0,2,2,2
Microwave Components Design Development,1,2.0,0.0,2,2,2
New Product,1,2.0,0.0,2,2,2
Rseaux 4G,1,2.0,0.0,2,2,2
Credit Risk,1,2.0,1.0,2,2,2
Rseau. Rseau De Capteurs,1,2.0,1.0,2,2,2
Public Governance,1,2.0,2.0,2,2,2
Human Behavior Analysis,1,2.0,0.0,2,2,2
Embodied Interaction,1,2.0,0.0,2,2,2
Orthogonal Functions,1,2.0,1.0,2,2,2
Entrepreneuriat Fminin En,1,2.0,0.0,2,2,2
Multicriteria,1,2.0,1.0,2,2,2
Conomie De L'Environnement,1,2.0,1.0,2,2,2
Compliance,1,2.0,1.0,2,2,2
Robotic And Deep Learning,1,2.0,0.0,2,2,2
Cross-Cultural Pragmatics,1,2.0,0.0,2,2,2
Machine Tools,1,2.0,0.0,2,2,2
Aspect Oriented Modeling,1,2.0,0.0,2,2,2
Agribisnis,1,2.0,0.0,2,2,2
Atmosphre,1,2.0,0.0,2,2,2
Macroeconomy,1,2.0,2.0,2,2,2
Robotique Mdicale,1,2.0,0.0,2,2,2
Gestion De Production Et Des Ressources,1,2.0,1.0,2,2,2
Multi-Stage Gasifiers,1,2.0,1.0,2,2,2
Corportate Governance,1,2.0,0.0,2,2,2
Pollen,1,2.0,1.0,2,2,2
Mthaheuristique,1,2.0,0.0,2,2,2
Biomolculaire,1,2.0,1.0,2,2,2
Chimie Pharmaceutique,1,2.0,0.0,2,2,2
Left Invertibility,1,2.0,0.0,2,2,2
Skills Evaluation,1,2.0,1.0,2,2,2
Risk Assessment,1,2.0,0.0,2,2,2
Decision Support System,1,2.0,2.0,2,2,2
Drone,1,2.0,2.0,2,2,2
Energetique-Mecanique,1,2.0,1.0,2,2,2
Luminescent Materials,1,2.0,2.0,2,2,2
Graph Problems,1,2.0,0.0,2,2,2
Genome Wide Association Studies,1,2.0,2.0,2,2,2
Graph Data Mining,1,2.0,1.0,2,2,2
Compost,1,2.0,0.0,2,2,2
Robustness,1,2.0,0.0,2,2,2
Production Planning,1,2.0,0.0,2,2,2
Polylectrolytes,1,2.0,0.0,2,2,2
Emergency Medicine,1,2.0,1.0,2,2,2
Tangibel User Interfaces,1,2.0,0.0,2,2,2
Opinion Mining Argumentation Mining Natural,1,2.0,0.0,2,2,2
Financial And Economic Crisis,1,2.0,2.0,2,2,2
Audiovisual Translation,1,2.0,0.0,2,2,2
Market Finance,1,2.0,1.0,2,2,2
Digitalization,1,2.0,0.0,2,2,2
Materials Chemistry - Heterogenous Catalysis,1,2.0,0.0,2,2,2
Philosophy,2,2.0,1.0,3,1,4
Decision Trees,1,2.0,1.0,2,2,2
Genre Analysis,1,2.0,2.0,2,2,2
Anglophone Literature,2,2.0,0.0,3,1,4
Lexicography,1,2.0,1.0,2,2,2
Manajemen Agribisnis,1,2.0,0.0,2,2,2
Philosophy Of Mathematics,1,2.0,1.0,2,2,2
Polymer Science,1,2.0,2.0,2,2,2
Matire Molle,1,2.0,0.0,2,2,2
Social Influence,1,2.0,1.0,2,2,2
Conomie Politique,1,2.0,1.0,2,2,2
Migration Studies,1,2.0,1.0,2,2,2
Transferts Thermique,1,2.0,2.0,2,2,2
Skyline Queries,1,2.0,1.0,2,2,2
Histoire Des Textes Arabes Sur La Musique,1,2.0,1.0,2,2,2
Affective Computing,1,2.0,0.0,2,2,2
Organizational Culture,1,2.0,0.0,2,2,2
Language Acquisition,1,2.0,1.0,2,2,2
Smart Communication Systems,1,2.0,1.0,2,2,2
Transformation,1,2.0,2.0,2,2,2
Electrical Machine,1,2.0,0.0,2,2,2
Academic Writing,1,2.0,0.0,2,2,2
Immersive Environment,1,2.0,0.0,2,2,2
Prototypage,1,2.0,1.0,2,2,2
Water Resources Engineering,1,2.0,0.0,2,2,2
Portfolio Management,3,2.0,1.33,3,1,6
Ultrasound,2,2.0,0.0,4,0,4
Banking And Finance,1,2.0,0.0,2,2,2
Air Pollution,1,2.0,0.0,2,2,2
Family Firms,1,2.0,0.0,2,2,2
National Culture,1,2.0,2.0,2,2,2
Cloud Fpga,1,2.0,1.0,2,2,2
Historical Heritage,1,2.0,2.0,2,2,2
Additive Manufacturing (Am),1,2.0,0.0,2,2,2
Data Analysis- Water Economy-,1,2.0,1.0,2,2,2
Cryptocurrency,1,2.0,2.0,2,2,2
Molecular,1,2.0,1.0,2,2,2
Speaker Naming,1,2.0,0.0,2,2,2
Mathematical Modelling,2,2.0,1.0,3,1,4
Siw Technology,1,2.0,0.0,2,2,2
Anomalies Detection,1,2.0,0.0,2,2,2
Rseaux Informatiques,1,2.0,2.0,2,2,2
Desambiguation,1,2.0,1.0,2,2,2
Soil Remediation Ecotoxicity,1,2.0,0.0,2,2,2
Techniques De Commande,1,2.0,2.0,2,2,2
Dynamic Verification,1,2.0,0.0,2,2,2
Lean Manufacturing,3,2.0,0.67,3,1,6
Climatology,1,2.0,1.0,2,2,2
Liquidity,1,2.0,1.0,2,2,2
Virtualisation Des Rseaux,1,2.0,0.0,2,2,2
Matlab Simulation,1,2.0,0.0,2,2,2
Language Teaching Pedagogy,1,2.0,0.0,2,2,2
Oganometallic Chemistry,1,2.0,0.0,2,2,2
Rcsf,1,2.0,0.0,2,2,2
Var,1,2.0,1.0,2,2,2
Archologie Funraire,1,2.0,0.0,2,2,2
Microfinance,4,2.0,1.25,3,0,8
Many-Objective Optimization,1,2.0,0.0,2,2,2
Tax Risk,2,2.0,0.0,2,2,4
Fusion De Donnes,1,2.0,2.0,2,2,2
Fluorescent Sources Classification,1,2.0,0.0,2,2,2
Mecanique Des Fluides Et Des Transferts,1,2.0,0.0,2,2,2
Nilm,1,2.0,1.0,2,2,2
Vido,1,2.0,0.0,2,2,2
Biocapteur Spr,1,2.0,1.0,2,2,2
Dsertification,1,2.0,0.0,2,2,2
Audio,1,2.0,0.0,2,2,2
Electrique,1,2.0,0.0,2,2,2
Mac-Layer,1,2.0,1.0,2,2,2
Computer Science Accessibility,1,2.0,1.0,2,2,2
Honey,1,2.0,1.0,2,2,2
Ecofriendly Material For Substrate,1,2.0,0.0,2,2,2
Cyberntique,1,2.0,0.0,2,2,2
Anti-Windup,1,2.0,1.0,2,2,2
Fiabilits Et Maintenances,1,2.0,1.0,2,2,2
Oncologie Thoracique,1,2.0,0.0,2,2,2
Path Planning,1,2.0,0.0,2,2,2
Semantic Modeling,1,2.0,1.0,2,2,2
Optimisation Des Paramtres Du Pid,1,2.0,0.0,2,2,2
Organic And Hybrid Solar Cells,1,2.0,0.0,2,2,2
Geotechnics,1,2.0,1.0,2,2,2
Precision Medicine,1,2.0,0.0,2,2,2
3D Urban Reconstruction,1,2.0,0.0,2,2,2
Superconductors,1,2.0,2.0,2,2,2
Stabilit Financire,1,2.0,0.0,2,2,2
Porous Materials (Mofs),1,2.0,0.0,2,2,2
Oral Medicine And Oral Surgery,1,2.0,0.0,2,2,2
Banks,1,2.0,1.0,2,2,2
Computer Vision Machine Learning,1,2.0,0.0,2,2,2
Taxation,1,2.0,0.0,2,2,2
Philosophy Of Scienc,1,2.0,0.0,2,2,2
Gas,1,2.0,2.0,2,2,2
Matriaux Multifonctionnels Et Environnement,1,2.0,2.0,2,2,2
Risque Systmique,1,2.0,0.0,2,2,2
Gyncologie Obsttrique,3,2.0,0.33,3,0,6
Trade Policy,1,2.0,1.0,2,2,2
Autisme,1,2.0,0.0,2,2,2
Chirurgie Maxillo Faciale,1,2.0,0.0,2,2,2
Rdf Data,1,2.0,1.0,2,2,2
Multimodal Fusion,1,2.0,0.0,2,2,2
Expert Systems,1,2.0,0.0,2,2,2
Allergologie,1,2.0,0.0,2,2,2
Photovoltaic Power Generation Systems,1,2.0,0.0,2,2,2
Phase Change Materials,1,2.0,1.0,2,2,2
Lab On-Chip,1,2.0,1.0,2,2,2
Supervision Neuronale Des Rgulateurs Pid,1,2.0,0.0,2,2,2
Pdes,1,2.0,0.0,2,2,2
Reconfigurable Computing,1,2.0,1.0,2,2,2
Power Management,1,2.0,0.0,2,2,2
Multiprocessor Architecture,1,2.0,0.0,2,2,2
Scurits Iot,1,2.0,2.0,2,2,2
(Fuzzy Sets & Grey Theory),1,2.0,1.0,2,2,2
Troubles Du Sommeil,1,2.0,0.0,2,2,2
Cognitive And Behavioral Therapy,1,2.0,0.0,2,2,2
Aluminosilicate Glasses,1,2.0,2.0,2,2,2
Online Social Networks,1,2.0,1.0,2,2,2
Logistic,1,2.0,0.0,2,2,2
Emotion,1,2.0,0.0,2,2,2
Otoneurochirurgie,1,2.0,0.0,2,2,2
Web Services Composition,1,2.0,0.0,2,2,2
Acceleration,1,2.0,0.0,2,2,2
Electrical System,1,2.0,0.0,2,2,2
Design Modeling And Control Of Grid,1,2.0,0.0,2,2,2
Law,1,2.0,0.0,2,2,2
Eg,1,2.0,0.0,2,2,2
Branding Management,1,2.0,1.0,2,2,2
Energie Solaire. Concentrateurs Solaires,1,2.0,1.0,2,2,2
Physical Exercise,1,2.0,0.0,2,2,2
Fluidized Beds,1,2.0,1.0,2,2,2
Structural Mechanics,2,2.0,1.0,3,1,4
Didactique Des Mathmatiques- Education,1,2.0,0.0,2,2,2
Comptabilit Et Finance,1,2.0,1.0,2,2,2
Soft Matter,1,2.0,0.0,2,2,2
History Of Mathematics,1,2.0,1.0,2,2,2
Vertige,1,2.0,0.0,2,2,2
Security Ontology,1,2.0,1.0,2,2,2
Folkloristics,1,2.0,1.0,2,2,2
Assembly Line Balancing Problem,1,2.0,1.0,2,2,2
Biopharmacy,1,2.0,0.0,2,2,2
Fpga Implementation,1,2.0,0.0,2,2,2
Iov,1,2.0,0.0,2,2,2
Collaboration,1,2.0,0.0,2,2,2
Nanofluides,1,2.0,2.0,2,2,2
Mashups,1,2.0,0.0,2,2,2
Choreography,1,2.0,0.0,2,2,2
Mangement Digital,1,2.0,0.0,2,2,2
Big-Data,1,2.0,1.0,2,2,2
Encapsulation,1,2.0,2.0,2,2,2
Multiobjective Optimization Problem,1,2.0,0.0,2,2,2
Propolis,1,2.0,1.0,2,2,2
Politique Commerciale,1,2.0,1.0,2,2,2
Actionnariat Familial,1,2.0,1.0,2,2,2
Food Conservation,1,2.0,1.0,2,2,2
Wireless And Cellular Networks,1,2.0,0.0,2,2,2
Api Solidworks,1,2.0,1.0,2,2,2
Six Sigma Approach,1,2.0,1.0,2,2,2
User Interfaces Adaptation,1,2.0,0.0,2,2,2
Numerical Mathematics,1,2.0,1.0,2,2,2
Inventory Control,1,2.0,0.0,2,2,2
Ml,2,2.0,1.0,2,2,4
Supply Chain Performance,1,2.0,0.0,2,2,2
Total Quality Management,1,2.0,0.0,2,2,2
Mycorrhizae,1,2.0,0.0,2,2,2
Valuation-Implied Cost Of Capital - Sustainable,1,2.0,2.0,2,2,2
Information And Communication Technology,1,2.0,1.0,2,2,2
Brms,1,2.0,0.0,2,2,2
Systemic Diseases,1,2.0,0.0,2,2,2
Geothermal Energy,1,2.0,1.0,2,2,2
Cutting And Packing,1,2.0,0.0,2,2,2
Query Generation,1,2.0,0.0,2,2,2
Complex Analysis,2,2.0,0.0,3,1,4
Electrical_Engineering,1,2.0,0.0,2,2,2
Mathematics- Algebra,1,2.0,0.0,2,2,2
Density Functional Theory,2,2.0,0.5,4,0,4
Geophysics,2,2.0,1.0,3,1,4
Raman Spectroscopy,1,2.0,2.0,2,2,2
Human Resource Allocation Problems,1,2.0,1.0,2,2,2
Nano-Photonics,1,2.0,0.0,2,2,2
Music Infromation Retrieval,1,2.0,1.0,2,2,2
Soil Nitrogen,1,2.0,0.0,2,2,2
Finance Comportementale,1,2.0,1.0,2,2,2
Safe-Sadt,1,2.0,2.0,2,2,2
Sedimentology Of Contiental Quaternary,1,2.0,0.0,2,2,2
Well-Being,1,2.0,0.0,2,2,2
Huile Essentielles,1,2.0,2.0,2,2,2
Contrastive Linguistics,1,2.0,0.0,2,2,2
Rseaux De Neurones Big Data,1,2.0,0.0,2,2,2
Finance Islamique,1,2.0,1.0,2,2,2
Source-Channel Coding,1,2.0,0.0,2,2,2
Graph Deep Learning,1,2.0,0.0,2,2,2
Purifications D'Enzymes,1,2.0,1.0,2,2,2
Multispectral Imaging,1,2.0,0.0,2,2,2
Critical Discourse Studies,1,2.0,1.0,2,2,2
